Date,Open,High,Low,Close,Volume,Adj Close
2014-01-06,13.60,13.65,12.84,12.88,1738200,12.88
2014-01-03,13.48,14.15,13.40,13.60,2530400,13.60
2014-01-02,13.23,13.48,13.15,13.48,1665600,13.48
2014-01-01,13.23,13.23,13.23,13.23,000,13.23
2013-12-31,13.20,13.39,13.07,13.23,1011900,13.23
2013-12-30,13.35,13.44,13.10,13.20,1163800,13.20
2013-12-27,13.18,13.50,13.05,13.34,1519300,13.34
2013-12-26,13.20,13.75,13.15,13.18,1231500,13.18
2013-12-25,12.75,13.16,12.72,13.16,981200,13.16
2013-12-24,12.72,13.06,12.70,12.78,572500,12.78
2013-12-23,13.02,13.24,12.56,12.65,601300,12.65
2013-12-20,12.80,13.26,12.79,13.00,461300,13.00
2013-12-19,12.97,13.18,12.82,12.87,455400,12.87
2013-12-18,12.71,12.98,12.71,12.94,377200,12.94
2013-12-17,13.35,13.40,12.75,12.83,966000,12.83
2013-12-16,13.70,13.83,13.23,13.35,839200,13.35
2013-12-13,13.80,14.10,13.67,13.78,549400,13.78
2013-12-12,13.88,14.13,13.68,13.95,642100,13.95
2013-12-11,13.97,14.20,13.60,13.66,758900,13.66
2013-12-10,13.67,13.94,13.60,13.90,1365700,13.90
2013-12-09,13.20,14.20,13.01,13.75,1810700,13.75
2013-12-06,12.80,13.16,12.72,13.02,805000,13.02
2013-12-05,12.67,13.51,12.67,12.98,1636800,12.98
2013-12-04,13.09,13.43,12.81,12.85,1643800,12.85
2013-12-03,13.09,13.35,12.11,13.10,2700400,13.10
2013-12-02,13.60,14.34,13.45,13.45,3337100,13.45
2013-11-29,15.10,15.19,14.75,14.94,2366600,14.94
2013-11-28,15.08,15.40,14.90,15.08,2521100,15.08
2013-11-27,14.70,15.90,14.70,15.33,4417800,15.33
2013-11-26,14.71,14.98,14.33,14.60,1905400,14.60
2013-11-25,14.82,15.15,14.73,14.83,1648700,14.83
2013-11-22,14.97,15.07,14.70,14.74,1509000,14.74
