Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,9.23,9.23,9.23,9.23,000,9.23
2014-01-09,9.23,9.23,9.23,9.23,000,9.23
2014-01-08,9.23,9.23,9.23,9.23,000,9.23
2014-01-07,9.23,9.23,9.23,9.23,000,9.23
2014-01-06,9.23,9.23,9.23,9.23,000,9.23
2014-01-03,9.23,9.23,9.23,9.23,000,9.23
2014-01-02,9.23,9.23,9.23,9.23,000,9.23
2014-01-01,9.23,9.23,9.23,9.23,000,9.23
2013-12-31,9.23,9.23,9.23,9.23,000,9.23
2013-12-30,9.23,9.23,9.23,9.23,000,9.23
2013-12-27,9.23,9.23,9.23,9.23,000,9.23
2013-12-26,9.23,9.23,9.23,9.23,000,9.23
2013-12-25,9.23,9.23,9.23,9.23,000,9.23
2013-12-24,9.23,9.23,9.23,9.23,000,9.23
2013-12-23,9.23,9.23,9.23,9.23,000,9.23
2013-12-20,9.23,9.23,9.23,9.23,000,9.23
2013-12-19,9.23,9.23,9.23,9.23,000,9.23
2013-12-18,9.23,9.23,9.23,9.23,000,9.23
2013-12-17,9.23,9.23,9.23,9.23,000,9.23
2013-12-16,9.23,9.23,9.23,9.23,000,9.23
2013-12-13,9.23,9.23,9.23,9.23,000,9.23
2013-12-12,9.23,9.23,9.23,9.23,000,9.23
2013-12-11,9.23,9.23,9.23,9.23,000,9.23
2013-12-10,9.23,9.23,9.23,9.23,000,9.23
2013-12-09,9.23,9.23,9.23,9.23,000,9.23
2013-12-06,8.60,9.23,8.51,9.23,60566400,9.23
2013-12-05,8.57,8.76,8.35,8.39,25159200,8.39
2013-12-04,8.06,8.34,8.03,8.23,15554000,8.23
2013-12-03,7.90,8.09,7.86,8.07,12941800,8.07
2013-12-02,8.40,8.45,7.79,7.85,35299000,7.85
2013-11-29,8.69,8.84,8.52,8.65,23889700,8.65
2013-11-28,8.85,8.89,8.68,8.69,26485200,8.69
2013-11-27,8.46,8.99,8.36,8.85,35320500,8.85
2013-11-26,8.58,8.75,8.39,8.46,26141900,8.46
2013-11-25,8.88,8.93,8.62,8.62,32948400,8.62
2013-11-22,8.55,8.89,8.43,8.87,53143000,8.87
2013-11-21,8.47,8.58,8.25,8.51,30840100,8.51
2013-11-20,8.65,8.70,8.44,8.60,27564100,8.60
2013-11-19,8.35,8.86,8.31,8.62,41545800,8.62
2013-11-18,8.05,8.65,8.05,8.43,40531100,8.43
2013-11-15,8.00,8.38,7.90,8.11,36551500,8.11
2013-11-14,7.77,8.11,7.50,8.11,34832300,8.11
2013-11-13,8.28,8.29,7.80,7.81,34487000,7.81
2013-11-12,8.48,8.66,8.26,8.45,32590200,8.45
2013-11-11,8.32,8.69,8.10,8.55,40254400,8.55
2013-11-08,8.26,8.54,8.15,8.32,33322300,8.32
2013-11-07,8.34,8.66,8.10,8.26,45418600,8.26
2013-11-06,8.40,9.25,8.31,8.59,87276400,8.59
2013-11-05,8.09,8.79,8.01,8.59,75616800,8.59
2013-11-04,8.02,8.59,7.92,8.31,76262300,8.31
2013-11-01,8.02,8.21,7.70,7.86,67249800,7.86
2013-10-31,8.34,8.34,7.91,8.34,119923400,8.34
2013-10-30,6.95,7.58,6.72,7.58,26782300,7.58
2013-10-29,7.32,7.48,6.62,6.89,20142800,6.89
2013-10-28,7.20,7.49,7.17,7.36,15304300,7.36
2013-10-25,7.16,7.30,7.08,7.22,10915600,7.22
2013-10-24,7.23,7.28,7.06,7.18,10568900,7.18
2013-10-23,7.62,7.68,7.18,7.20,23843000,7.20
2013-10-22,7.50,7.87,7.48,7.61,34208900,7.61
2013-10-21,7.38,7.78,7.30,7.58,39177200,7.58
2013-10-18,7.04,7.41,7.00,7.38,24094400,7.38
2013-10-17,7.10,7.29,7.06,7.09,14508300,7.09
2013-10-16,7.21,7.28,6.99,7.04,14338700,7.04
2013-10-15,7.42,7.43,7.20,7.30,21388200,7.30
2013-10-14,7.32,7.64,7.26,7.46,35958200,7.46
2013-10-11,7.18,7.38,7.18,7.25,23576800,7.25
2013-10-10,7.26,7.38,7.07,7.11,25678600,7.11
2013-10-09,7.23,7.46,7.20,7.37,33991900,7.37
2013-10-08,6.93,7.49,6.82,7.35,40211200,7.35
2013-10-07,7.05,7.05,7.05,7.05,000,7.05
2013-10-04,7.05,7.05,7.05,7.05,000,7.05
2013-10-03,7.05,7.05,7.05,7.05,000,7.05
2013-10-02,7.05,7.05,7.05,7.05,000,7.05
2013-10-01,7.05,7.05,7.05,7.05,000,7.05
2013-09-30,6.72,7.18,6.65,7.05,30540600,7.05
2013-09-27,7.29,7.38,6.84,6.89,55804900,6.89
2013-09-26,6.39,7.00,6.39,7.00,41460900,7.00
2013-09-25,6.51,6.55,6.34,6.36,10465500,6.36
2013-09-24,6.51,6.57,6.46,6.53,8690000,6.53
2013-09-23,6.48,6.58,6.46,6.51,7244400,6.51
2013-09-20,6.35,6.35,6.35,6.35,000,6.35
2013-09-18,6.38,6.44,6.32,6.35,5160600,6.35
2013-09-17,6.59,6.59,6.36,6.38,7924500,6.38
2013-09-16,6.52,6.64,6.52,6.57,7471900,6.57
2013-09-13,6.49,6.57,6.41,6.53,8529100,6.53
2013-09-12,6.57,6.72,6.50,6.51,12299800,6.51
2013-09-11,6.81,6.81,6.41,6.48,19806800,6.48
2013-09-10,6.70,6.86,6.66,6.82,16327000,6.82
2013-09-09,6.56,6.84,6.52,6.72,15778100,6.72
2013-09-06,6.51,6.64,6.48,6.56,9667300,6.56
2013-09-05,6.59,6.66,6.54,6.56,8137200,6.56
2013-09-04,6.67,6.72,6.57,6.60,9000700,6.60
2013-09-03,6.53,6.73,6.43,6.67,10445300,6.67
2013-09-02,6.35,6.60,6.34,6.51,9077000,6.51
2013-08-30,6.68,6.68,6.29,6.39,13917100,6.39
2013-08-29,6.83,6.87,6.58,6.67,13877200,6.67
2013-08-28,6.91,6.96,6.74,6.83,11584400,6.83
2013-08-27,6.95,6.99,6.85,6.96,8999400,6.96
