Date,Open,High,Low,Close,Volume,Adj Close
2014-01-06,16.93,17.00,16.58,16.84,3373900,16.84
2014-01-03,17.03,17.08,16.83,16.94,3712200,16.94
2014-01-02,16.94,17.22,16.86,17.03,5153600,17.03
2014-01-01,16.94,16.94,16.94,16.94,000,16.94
2013-12-31,16.75,17.11,16.66,16.94,4962300,16.94
2013-12-30,16.70,17.07,16.70,16.77,3992700,16.77
2013-12-27,16.39,16.85,16.34,16.65,5291500,16.65
2013-12-26,16.84,16.98,16.35,16.35,5485400,16.35
2013-12-25,16.20,16.95,16.02,16.93,4961600,16.93
2013-12-24,16.00,16.36,16.00,16.18,2771900,16.18
2013-12-23,16.22,16.28,15.70,15.90,4468100,15.90
2013-12-20,16.01,16.51,16.00,16.23,3358100,16.23
2013-12-19,16.55,16.72,16.01,16.01,3282000,16.01
2013-12-18,16.70,16.78,16.33,16.37,3174900,16.37
2013-12-17,17.09,17.12,16.55,16.64,2988000,16.64
2013-12-16,17.07,17.21,16.56,17.13,5218000,17.13
2013-12-13,17.30,17.30,17.10,17.19,2714700,17.19
2013-12-12,17.11,17.31,16.97,17.27,3506200,17.27
2013-12-11,17.20,17.28,16.96,17.07,3260300,17.07
2013-12-10,17.30,17.35,16.96,17.05,3838600,17.05
2013-12-09,16.99,17.29,16.95,17.29,7262100,17.29
2013-12-06,16.87,17.25,16.63,16.70,6332700,16.70
2013-12-05,16.95,17.59,16.85,16.86,7140100,16.86
2013-12-04,17.10,17.48,16.90,16.91,7133100,16.91
2013-12-03,17.00,17.34,16.11,17.06,9533600,17.06
2013-12-02,18.58,18.88,17.55,17.55,11749600,17.55
2013-11-29,19.19,19.55,19.19,19.50,5451600,19.50
2013-11-28,19.50,19.60,19.10,19.19,5458100,19.19
2013-11-27,18.86,19.49,18.81,19.45,7667600,19.45
2013-11-26,18.80,19.13,18.68,18.88,4676900,18.88
2013-11-25,18.83,19.16,18.80,18.81,3740200,18.81
2013-11-22,18.97,19.27,18.76,18.83,4305100,18.83
2013-11-21,19.39,19.39,18.82,18.98,4593700,18.98
2013-11-20,19.43,19.55,19.09,19.38,4734500,19.38
